Participant,Condition,Total_Trials,N1,N2,R1,R2,Num_Runs1,Num_Runs2,d1,d2,Lambda1,Lambda2,Num_Changeovers,Changeover_Rate,Relative_Reinforcement,Observed_Prop1,Log_Preference,Sum_Lambdas,Predicted_Prop1,Log_Lambda_Ratio
1,1090,240,68,172,26,153,19,20,3.5789473684210527,8.6,0.27941176470588236,0.11627906976744186,37,0.15416666666666667,0.1452513966480447,0.2833333333333333,-0.40301953420131265,0.3956908344733242,0.2938634399308557,-0.38074313949016036
1,2575,240,138,102,47,78,50,48,2.76,2.125,0.3623188405797102,0.47058823529411764,96,0.4,0.376,0.575,0.13127891463931898,0.8329070758738278,0.5649948822927329,0.1135501476788873
1,5050,240,151,89,84,51,23,21,6.565217391304348,4.238095238095238,0.152317880794702,0.23595505617977527,42,0.175,0.6222222222222222,0.6291666666666667,0.22958694064825663,0.3882729369744773,0.6077041011881946,0.190078399364583
1,7525,240,173,67,126,24,52,51,3.326923076923077,1.3137254901960784,0.3005780346820809,0.7611940298507462,101,0.42083333333333334,0.84,0.7208333333333333,0.411971300427969,1.061772064532827,0.7169090761355327,0.4035381328911062
1,9010,120,107,13,92,3,10,9,10.7,1.4444444444444444,0.09345794392523366,0.6923076923076923,18,0.15,0.968421052631579,0.8916666666666667,0.9154404253783728,0.785765636232926,0.8810612991765782,0.8696829348176977
2,1090,240,58,182,15,166,7,7,8.285714285714286,26.0,0.12068965517241378,0.038461538461538464,12,0.05,0.08287292817679558,0.24166666666666667,-0.49664339442213756,0.15915119363395225,0.2416666666666667,-0.49664339442213745
2,2575,240,240,0,76,0,2,0,120.0,,0.008333333333333333,,0,0.0,1.0,1.0,,,,
2,5050,240,147,93,90,59,62,62,2.370967741935484,1.5,0.42176870748299317,0.6666666666666666,122,0.5083333333333333,0.6040268456375839,0.6125,0.19883438619424096,1.0884353741496597,0.6125,0.19883438619424096
2,7525,240,235,5,178,4,6,4,39.166666666666664,1.25,0.025531914893617023,0.8,8,0.03333333333333333,0.978021978021978,0.9791666666666666,1.6720978579357175,0.8255319148936171,0.9690721649484536,1.4960065988800362
2,9010,120,115,5,105,1,2,2,57.5,2.5,0.017391304347826087,0.4,3,0.025,0.9905660377358491,0.9583333333333334,1.3617278360175928,0.4173913043478261,0.9583333333333333,1.3617278360175928
3,1090,240,4,236,0,213,4,4,1.0,59.0,1.0,0.01694915254237288,6,0.025,0.0,0.016666666666666666,-1.7708520116421442,1.0169491525423728,0.016666666666666666,-1.7708520116421442
3,2575,240,70,170,23,133,36,35,1.9444444444444444,4.857142857142857,0.5142857142857143,0.2058823529411765,69,0.2875,0.14743589743589744,0.2916666666666667,-0.38535088136401713,0.7201680672268909,0.28588098016336055,-0.3975853377810288
3,5050,240,137,103,79,64,40,40,3.425,2.575,0.29197080291970806,0.3883495145631068,78,0.325,0.5524475524475524,0.5708333333333333,0.12388334245123458,0.6803203174828149,0.5708333333333333,0.12388334245123452
3,7525,240,198,42,152,9,25,24,7.92,1.75,0.12626262626262627,0.5714285714285714,47,0.19583333333333333,0.9440993788819876,0.825,0.6734158998636307,0.6976911976911977,0.8190279214064116,0.655687132903199
3,9010,240,233,7,213,2,7,5,33.285714285714285,1.4,0.030042918454935622,0.7142857142857143,10,0.041666666666666664,0.9906976744186047,0.9708333333333333,1.5222578810117622,0.74432863274065,0.9596375617792421,1.3761298453335242
4,1090,240,8,232,0,207,8,8,1.0,29.0,1.0,0.034482758620689655,14,0.058333333333333334,0.0,0.03333333333333333,-1.462397997898956,1.0344827586206897,0.03333333333333333,-1.462397997898956
4,2575,480,154,326,50,253,115,116,1.3391304347826087,2.810344827586207,0.7467532467532467,0.3558282208588957,227,0.47291666666666665,0.16501650165016502,0.32083333333333336,-0.32569687923147594,1.1025814676121424,0.3227228384579254,-0.3219367303581691
4,5050,240,228,12,116,4,13,11,17.53846153846154,1.0909090909090908,0.05701754385964912,0.9166666666666667,22,0.09166666666666666,0.9666666666666667,0.95,1.2787536009528289,0.9736842105263158,0.9414414414414415,1.2062029338042173
4,7525,360,284,76,217,19,69,66,4.115942028985507,1.1515151515151516,0.24295774647887325,0.8684210526315789,132,0.36666666666666664,0.9194915254237288,0.7888888888888889,0.5725047477662464,1.1113787991104522,0.7813906953476737,0.5531995925708596
4,9010,240,235,5,206,2,7,5,33.57142857142857,1.0,0.029787234042553193,1.0,10,0.041666666666666664,0.9903846153846154,0.9791666666666666,1.6720978579357175,1.0297872340425531,0.9710743801652894,1.5259698222574793
